AccountID,OwnerName,BranchID,AccountType,Balance,CreditLimit,CreatedAt,IsActive
ACC0098,Customer_0098,BR001-HCM,Savings,28916178.87,46939694.49,2023-06-06,True
ACC0099,Customer_0099,BR003-DN,Checking,6147313.47,6534343.51,2023-02-19,True
ACC0100,Customer_0100,BR002-HN,Savings,40651532.78,94912564.24,2020-04-04,False
ACC0101,Customer_0101,BR005-HP,Business,39641671.08,22568713.71,2024-07-15,False
ACC0102,Customer_0102,BR003-DN,Business,49506547.39,30538024.43,2024-01-20,True
ACC0103,Customer_0103,BR002-HN,Business,10945747.17,66042813.72,2021-04-06,True
ACC0104,Customer_0104,BR002-HN,Savings,20721619.85,68937113.58,2023-05-02,True
ACC0105,Customer_0105,BR003-DN,Business,14494559.47,85960673.13,2020-11-08,True
ACC0106,Customer_0106,BR005-HP,Business,40293331.17,19781921.38,2020-09-08,True
ACC0107,Customer_0107,BR003-DN,Savings,4034786.92,16592278.92,2022-10-24,True
ACC0108,Customer_0108,BR004-CT,Savings,23700549.53,30409119.05,2023-05-17,False
ACC0109,Customer_0109,BR004-CT,Savings,30102814.77,88942288.93,2022-10-09,True
ACC0110,Customer_0110,BR001-HCM,Savings,48114599.56,83595861.39,2024-10-01,True
ACC0111,Customer_0111,BR005-HP,Savings,38273895.71,17519072.79,2024-11-15,True
ACC0112,Customer_0112,BR002-HN,Business,22076306.86,81424494.45,2020-08-12,False
ACC0113,Customer_0113,BR003-DN,Checking,33671608.72,85773309.44,2022-07-23,False
ACC0114,Customer_0114,BR003-DN,Business,47287080.21,81356603.47,2024-01-15,True
ACC0115,Customer_0115,BR003-DN,Checking,16502052.42,97018472.68,2023-09-27,True
ACC0116,Customer_0116,BR005-HP,Checking,20955754.75,18758254.14,2022-10-25,False
ACC0117,Customer_0117,BR004-CT,Savings,10576132.8,54921963.91,2022-08-23,False
ACC0118,Customer_0118,BR001-HCM,Savings,48670767.38,60887166.71,2021-12-06,True
ACC0119,Customer_0119,BR005-HP,Savings,27836444.75,9320920.13,2020-08-04,True
ACC0120,Customer_0120,BR004-CT,Business,14947147.23,70541162.99,2023-08-16,True
ACC0121,Customer_0121,BR004-CT,Business,7659777.44,19061037.09,2024-09-24,True
ACC0122,Customer_0122,BR001-HCM,Checking,38747419.07,85441238.0,2022-09-09,True
ACC0123,Customer_0123,BR003-DN,Business,15278514.56,58693772.24,2023-03-15,False
ACC0124,Customer_0124,BR003-DN,Checking,27819912.15,54343006.3,2023-06-28,True
ACC0125,Customer_0125,BR002-HN,Business,19457057.02,85601297.6,2023-01-11,False
ACC0126,Customer_0126,BR004-CT,Checking,49426493.1,79239366.07,2021-08-02,True
ACC0127,Customer_0127,BR005-HP,Business,16933737.84,10036460.22,2023-02-17,False
ACC0128,Customer_0128,BR001-HCM,Business,7635693.09,87093297.13,2021-02-16,True
ACC0129,Customer_0129,BR003-DN,Business,34788877.63,64983665.26,2022-11-28,False
ACC0130,Customer_0130,BR003-DN,Business,36076512.55,75940180.93,2024-01-20,True
ACC0131,Customer_0131,BR002-HN,Business,34377778.93,28737900.4,2021-12-03,False
ACC0132,Customer_0132,BR001-HCM,Business,35342596.05,10050724.03,2021-12-10,True
ACC0133,Customer_0133,BR001-HCM,Checking,39909101.53,29336777.6,2022-07-05,True
ACC0134,Customer_0134,BR005-HP,Checking,28513439.06,79251947.39,2021-03-03,False
ACC0135,Customer_0135,BR005-HP,Business,12421074.7,91282901.6,2021-04-15,True
ACC0136,Customer_0136,BR004-CT,Checking,33508615.5,89890853.17,2023-05-22,True
ACC0137,Customer_0137,BR001-HCM,Checking,47289163.93,98765169.52,2022-11-14,True
ACC0138,Customer_0138,BR004-CT,Checking,10361241.46,38469324.9,2023-02-08,False
ACC0139,Customer_0139,BR005-HP,Checking,28953190.54,99269204.36,2022-01-27,False
ACC0140,Customer_0140,BR003-DN,Savings,28513486.34,68579949.27,2020-10-24,False
ACC0141,Customer_0141,BR003-DN,Savings,30549717.41,35232095.58,2021-10-09,True
ACC0142,Customer_0142,BR001-HCM,Business,32493860.14,30893288.4,2023-01-19,True
ACC0143,Customer_0143,BR002-HN,Savings,45526576.71,32671912.57,2023-03-07,True
ACC0144,Customer_0144,BR005-HP,Checking,26777192.5,91348697.45,2021-05-27,False
ACC0145,Customer_0145,BR003-DN,Business,43584649.49,80423253.86,2023-02-05,True
ACC0146,Customer_0146,BR004-CT,Business,18605864.95,79068196.86,2020-05-18,True
ACC0147,Customer_0147,BR004-CT,Checking,33805004.9,67234079.74,2024-07-27,True
ACC0148,Customer_0148,BR001-HCM,Business,12074184.16,2502464.96,2024-06-20,True
ACC0149,Customer_0149,BR001-HCM,Business,41280839.89,90938763.84,2022-11-14,True
ACC0150,Customer_0150,BR002-HN,Savings,47339945.88,30436458.44,2023-02-04,True
ACC0151,Customer_0151,BR005-HP,Savings,19737968.64,37101151.55,2024-07-19,True
ACC0152,Customer_0152,BR004-CT,Business,5401570.92,48934703.78,2023-05-02,True
ACC0153,Customer_0153,BR002-HN,Checking,22512445.06,23611263.82,2022-02-22,True
ACC0154,Customer_0154,BR005-HP,Business,18254355.14,39813964.27,2021-02-28,False
ACC0155,Customer_0155,BR001-HCM,Business,10999237.86,63949291.85,2020-01-26,True
ACC0156,Customer_0156,BR002-HN,Savings,39455415.95,20520557.51,2024-04-19,True
ACC0157,Customer_0157,BR002-HN,Checking,38831244.6,78864375.43,2024-01-09,True
ACC0158,Customer_0158,BR002-HN,Business,12907382.74,17449712.09,2020-03-01,True
ACC0159,Customer_0159,BR002-HN,Business,16526687.37,17424620.14,2020-03-24,False
ACC0160,Customer_0160,BR005-HP,Savings,37410431.11,47624596.54,2022-09-19,True
ACC0161,Customer_0161,BR004-CT,Business,11466712.94,61510683.63,2024-05-15,True
ACC0162,Customer_0162,BR001-HCM,Checking,42441277.89,42627361.93,2020-08-23,False
ACC0163,Customer_0163,BR001-HCM,Savings,16444535.08,14833382.57,2021-05-20,True
ACC0164,Customer_0164,BR004-CT,Business,26762563.45,45371541.76,2024-07-04,True
ACC0165,Customer_0165,BR005-HP,Business,43341869.63,43006994.17,2021-07-11,False
ACC0166,Customer_0166,BR004-CT,Checking,36615819.13,31254835.0,2022-11-09,True
ACC0167,Customer_0167,BR002-HN,Business,46187759.27,6713330.81,2020-02-14,True
ACC0168,Customer_0168,BR003-DN,Savings,28040351.41,58646508.27,2024-09-11,True
ACC0169,Customer_0169,BR004-CT,Checking,43743564.93,94112986.89,2023-12-02,True
ACC0170,Customer_0170,BR005-HP,Checking,17906486.19,57791851.84,2021-03-22,False
ACC0171,Customer_0171,BR002-HN,Savings,17830642.71,55626547.61,2020-05-19,True
ACC0172,Customer_0172,BR004-CT,Business,48740056.81,81842685.95,2024-11-21,True
ACC0173,Customer_0173,BR005-HP,Business,41558309.1,26744772.52,2021-05-23,True
ACC0174,Customer_0174,BR003-DN,Checking,802236.58,86986270.65,2024-11-13,True
ACC0175,Customer_0175,BR002-HN,Business,31842014.63,3065709.84,2024-04-13,False
ACC0176,Customer_0176,BR004-CT,Checking,8291759.15,31163736.97,2022-10-20,True
ACC0177,Customer_0177,BR001-HCM,Savings,8291789.91,61783818.19,2020-05-15,False
ACC0178,Customer_0178,BR004-CT,Business,22381187.24,27316684.44,2024-02-12,False
ACC0179,Customer_0179,BR001-HCM,Checking,34071785.7,59313425.04,2024-11-10,True
ACC0180,Customer_0180,BR002-HN,Checking,49230060.09,5478195.85,2021-05-07,True
ACC0181,Customer_0181,BR003-DN,Checking,16742056.62,772990.66,2023-03-05,False
ACC0182,Customer_0182,BR005-HP,Business,11890480.45,55872356.77,2022-02-13,True
ACC0183,Customer_0183,BR004-CT,Savings,23257835.39,7786261.19,2022-10-14,False
ACC0184,Customer_0184,BR004-CT,Checking,6201081.95,2085655.9,2022-03-26,False
ACC0185,Customer_0185,BR003-DN,Savings,22117233.09,10586313.34,2023-10-13,True
ACC0186,Customer_0186,BR004-CT,Checking,37417338.91,22157205.89,2021-02-17,True
ACC0187,Customer_0187,BR005-HP,Business,10098233.46,77622822.93,2022-12-27,True
ACC0188,Customer_0188,BR002-HN,Savings,7748988.8,19727180.28,2024-03-25,True
ACC0189,Customer_0189,BR002-HN,Business,24958792.74,75444582.52,2024-08-22,True
ACC0190,Customer_0190,BR003-DN,Savings,22268259.41,46892108.35,2022-05-19,True
ACC0191,Customer_0191,BR003-DN,Business,4172437.48,46174248.64,2020-01-12,True
ACC0192,Customer_0192,BR001-HCM,Business,43280376.68,85529337.15,2024-10-17,False
ACC0193,Customer_0193,BR004-CT,Business,27938660.38,79181779.73,2020-08-26,True
ACC0194,Customer_0194,BR003-DN,Business,24043636.88,15086107.67,2020-08-04,True
ACC0195,Customer_0195,BR001-HCM,Business,32483291.01,3914212.62,2023-08-17,True
ACC0196,Customer_0196,BR003-DN,Checking,45937871.06,38741655.95,2022-11-20,True
ACC0197,Customer_0197,BR003-DN,Savings,16819692.38,55796321.24,2023-05-09,True
ACC0198,Customer_0198,BR003-DN,Savings,29345605.97,14142838.06,2022-05-21,False
ACC0199,Customer_0199,BR002-HN,Business,35587283.71,8471901.2,2024-07-21,True
ACC0200,Customer_0200,BR002-HN,Business,35290128.17,94710862.44,2024-02-21,False
ACC0201,Customer_0201,BR005-HP,Checking,1402411.62,30886607.01,2021-06-25,False
ACC0202,Customer_0202,BR002-HN,Savings,49998842.74,15494517.29,2022-02-17,True
ACC0203,Customer_0203,BR003-DN,Business,6986927.55,37671987.08,2021-03-27,True
ACC0204,Customer_0204,BR004-CT,Savings,20837501.27,67636292.22,2021-08-20,True
ACC0205,Customer_0205,BR004-CT,Savings,26933551.91,30946789.66,2023-04-12,False
ACC0206,Customer_0206,BR004-CT,Checking,39017139.84,50290669.15,2023-03-27,True
ACC0207,Customer_0207,BR005-HP,Savings,43713595.04,5217980.33,2023-06-18,True
ACC0208,Customer_0208,BR005-HP,Savings,14610619.2,76311683.03,2022-08-17,True
ACC0209,Customer_0209,BR004-CT,Savings,47347456.52,22203800.69,2023-06-01,False
ACC0210,Customer_0210,BR001-HCM,Checking,25349352.18,23577807.39,2020-06-08,True
ACC0211,Customer_0211,BR003-DN,Savings,42039226.24,64996068.43,2021-03-02,True
ACC0212,Customer_0212,BR004-CT,Business,41639969.05,75884115.48,2023-08-20,True
ACC0213,Customer_0213,BR001-HCM,Savings,13168234.46,83496309.93,2024-12-20,False
ACC0214,Customer_0214,BR001-HCM,Checking,12263191.22,12184834.52,2021-07-21,False
ACC0215,Customer_0215,BR001-HCM,Savings,41916042.17,49982922.22,2024-01-21,True
ACC0216,Customer_0216,BR002-HN,Checking,21747325.21,61480958.28,2021-10-14,True
ACC0217,Customer_0217,BR001-HCM,Business,48745397.3,6767932.29,2024-09-17,True
ACC0218,Customer_0218,BR004-CT,Checking,2654954.05,38688132.15,2022-05-24,True
ACC0219,Customer_0219,BR003-DN,Savings,17567723.41,73294102.15,2020-10-24,True
ACC0220,Customer_0220,BR002-HN,Savings,17938802.78,33854725.82,2021-11-15,False
ACC0221,Customer_0221,BR002-HN,Savings,3623476.58,77619039.97,2023-01-10,True
ACC0222,Customer_0222,BR001-HCM,Savings,44346624.09,31559582.0,2022-09-13,False
ACC0223,Customer_0223,BR003-DN,Savings,37787900.48,19110343.07,2022-01-28,True
ACC0224,Customer_0224,BR003-DN,Savings,40067449.37,43695138.31,2023-12-15,False
ACC0225,Customer_0225,BR003-DN,Savings,25062059.71,49752339.25,2024-05-26,True
ACC0226,Customer_0226,BR004-CT,Savings,21815054.02,99509816.48,2021-09-10,True
ACC0227,Customer_0227,BR001-HCM,Savings,16732035.31,29563994.93,2023-10-23,False
ACC0228,Customer_0228,BR002-HN,Business,22473464.86,44712965.97,2022-10-14,True
ACC0229,Customer_0229,BR001-HCM,Savings,33723602.5,40621023.15,2024-12-22,True
ACC0230,Customer_0230,BR001-HCM,Savings,42509130.84,67808887.2,2023-01-05,True
ACC0231,Customer_0231,BR002-HN,Business,18633259.42,38285440.17,2024-01-20,True
ACC0232,Customer_0232,BR004-CT,Checking,18914662.23,76308447.18,2024-03-17,True
ACC0233,Customer_0233,BR004-CT,Checking,32653256.47,24961165.31,2020-01-24,True
ACC0234,Customer_0234,BR004-CT,Business,19655875.31,56167271.08,2022-05-23,False
ACC0235,Customer_0235,BR002-HN,Business,14636055.45,91647890.95,2023-04-04,True
ACC0236,Customer_0236,BR001-HCM,Checking,9046490.02,71336989.44,2020-11-28,True
ACC0237,Customer_0237,BR003-DN,Business,3714484.38,54217136.12,2022-03-23,True
ACC0238,Customer_0238,BR003-DN,Business,11599959.95,98513254.67,2021-04-26,False
ACC0239,Customer_0239,BR001-HCM,Checking,27924061.14,36891116.55,2024-03-20,True
ACC0240,Customer_0240,BR001-HCM,Checking,20208919.05,71693359.85,2023-09-14,False
ACC0241,Customer_0241,BR005-HP,Savings,6703675.72,31702767.05,2020-08-15,True
ACC0242,Customer_0242,BR002-HN,Business,32169799.5,18196313.66,2021-07-17,True
ACC0243,Customer_0243,BR001-HCM,Business,8074265.61,16465707.99,2022-12-08,True
ACC0244,Customer_0244,BR005-HP,Checking,42373718.45,25060530.9,2024-05-05,True
ACC0245,Customer_0245,BR005-HP,Business,5124706.14,64098742.73,2024-10-05,True
ACC0246,Customer_0246,BR005-HP,Business,45149044.24,33761958.66,2024-01-27,True
ACC0247,Customer_0247,BR001-HCM,Savings,47453069.27,77102236.88,2022-11-07,False
ACC0248,Customer_0248,BR005-HP,Business,1999151.98,88899688.14,2024-05-21,True
ACC0249,Customer_0249,BR004-CT,Savings,40332063.63,68499084.12,2022-08-03,True
ACC0250,Customer_0250,BR002-HN,Checking,21073276.44,46444215.78,2022-10-05,True
ACC0251,Customer_0251,BR003-DN,Business,49407156.79,34537056.07,2023-03-25,True
ACC0252,Customer_0252,BR005-HP,Business,5756104.71,24173786.09,2020-05-15,True
ACC0253,Customer_0253,BR002-HN,Savings,3004961.94,94538489.27,2024-07-08,True
ACC0254,Customer_0254,BR003-DN,Business,36195857.23,18983410.12,2021-08-17,False
ACC0255,Customer_0255,BR004-CT,Checking,25119828.52,9004909.5,2023-09-15,True
ACC0256,Customer_0256,BR002-HN,Business,17968306.9,5054040.46,2023-10-27,False
ACC0257,Customer_0257,BR003-DN,Business,904781.59,10749708.44,2021-05-24,True
ACC0258,Customer_0258,BR004-CT,Checking,2739498.53,5115768.74,2024-04-12,True
ACC0259,Customer_0259,BR001-HCM,Checking,25460648.69,76440411.47,2022-10-22,True
ACC0260,Customer_0260,BR002-HN,Savings,19998233.78,79489722.84,2022-09-12,True
ACC0261,Customer_0261,BR002-HN,Business,25701564.55,50007790.36,2020-01-05,True
ACC0262,Customer_0262,BR004-CT,Business,23120933.68,60626052.24,2024-03-11,True
ACC0263,Customer_0263,BR002-HN,Checking,49535479.01,73931936.06,2022-10-11,False
ACC0264,Customer_0264,BR005-HP,Checking,24007183.7,1663695.55,2022-11-04,False
ACC0265,Customer_0265,BR005-HP,Checking,39939363.29,72532421.26,2020-10-16,True
ACC0266,Customer_0266,BR005-HP,Business,11763389.65,5135516.51,2023-03-17,False
ACC0267,Customer_0267,BR002-HN,Business,12488729.73,57257027.14,2020-04-01,False
ACC0268,Customer_0268,BR003-DN,Checking,7995847.28,69050026.09,2023-09-25,False
ACC0269,Customer_0269,BR001-HCM,Business,7335083.05,20734170.5,2022-11-16,False
ACC0270,Customer_0270,BR003-DN,Savings,23253344.83,53312706.46,2024-06-22,True
ACC0271,Customer_0271,BR005-HP,Checking,10017076.37,24651913.55,2024-05-08,True
ACC0272,Customer_0272,BR003-DN,Business,10760250.85,70498825.97,2022-08-12,True
ACC0273,Customer_0273,BR003-DN,Savings,28887101.79,54319087.7,2023-06-25,True
ACC0274,Customer_0274,BR003-DN,Savings,14737701.91,71414128.75,2022-08-21,True
ACC0275,Customer_0275,BR004-CT,Savings,10502366.36,53857792.37,2024-12-09,True
ACC0276,Customer_0276,BR001-HCM,Business,37174103.35,23928206.59,2020-11-17,True
ACC0277,Customer_0277,BR002-HN,Savings,5459798.97,33029362.35,2023-02-22,True
ACC0278,Customer_0278,BR001-HCM,Business,48906580.24,15794107.62,2023-08-21,True
ACC0279,Customer_0279,BR003-DN,Checking,14628059.39,5916258.62,2020-11-19,True
ACC0280,Customer_0280,BR005-HP,Business,36294325.07,93666937.98,2021-07-27,True
ACC0281,Customer_0281,BR001-HCM,Checking,39504051.18,18631163.19,2022-01-01,True
ACC0282,Customer_0282,BR005-HP,Business,5811384.19,98299388.84,2022-08-21,False
ACC0283,Customer_0283,BR002-HN,Business,23667028.07,19281139.83,2020-06-06,False
ACC0284,Customer_0284,BR003-DN,Business,9716853.92,73661789.55,2022-10-22,True
ACC0285,Customer_0285,BR002-HN,Business,42879251.96,89704276.18,2023-09-11,True
ACC0286,Customer_0286,BR004-CT,Business,5221562.74,98168519.24,2023-06-08,True
ACC0287,Customer_0287,BR003-DN,Checking,12158302.01,75375665.18,2022-05-19,True
ACC0288,Customer_0288,BR003-DN,Business,18297828.48,23630257.74,2020-08-10,True
ACC0289,Customer_0289,BR004-CT,Business,25374763.33,89511836.98,2022-12-04,True
ACC0290,Customer_0290,BR003-DN,Business,11432037.38,95736053.69,2023-03-15,True
ACC0291,Customer_0291,BR004-CT,Business,27687108.19,47082807.69,2024-11-27,True
ACC0292,Customer_0292,BR002-HN,Business,37859607.71,87313505.85,2020-09-15,True
ACC0293,Customer_0293,BR001-HCM,Business,6054335.18,82877405.4,2024-04-19,True
ACC0294,Customer_0294,BR002-HN,Checking,42797057.37,44184055.27,2021-12-19,False
ACC0295,Customer_0295,BR001-HCM,Business,22551393.26,5563580.58,2021-09-14,False
ACC0296,Customer_0296,BR005-HP,Savings,28160461.35,67276771.22,2022-12-01,False
ACC0297,Customer_0297,BR003-DN,Savings,37417321.9,57831126.51,2020-07-12,True
ACC0298,Customer_0298,BR005-HP,Savings,46761848.54,6901914.62,2023-01-10,False
ACC0299,Customer_0299,BR002-HN,Savings,38408470.3,97833328.49,2023-06-13,False
ACC0300,Customer_0300,BR004-CT,Checking,4472374.64,96414437.64,2024-03-21,True
ACC0301,Customer_0301,BR001-HCM,Savings,49645915.42,39305863.18,2021-12-08,True
ACC0302,Customer_0302,BR001-HCM,Checking,23418693.11,71909397.5,2023-09-13,True
ACC0303,Customer_0303,BR002-HN,Checking,17634906.88,27564972.78,2020-01-26,False
ACC0304,Customer_0304,BR005-HP,Savings,12412981.56,6729090.29,2024-01-15,True
ACC0305,Customer_0305,BR002-HN,Business,2689718.14,43896281.15,2024-04-25,True
ACC0306,Customer_0306,BR002-HN,Business,49677430.34,23416151.71,2024-06-19,True
ACC0307,Customer_0307,BR002-HN,Checking,43874786.95,98569556.07,2024-04-14,True
ACC0308,Customer_0308,BR003-DN,Savings,28057546.85,59166712.22,2021-11-22,False
ACC0309,Customer_0309,BR005-HP,Checking,2820762.8,34441482.98,2023-09-11,False
ACC0310,Customer_0310,BR004-CT,Savings,15344480.47,18387897.87,2024-08-08,True
